FileName	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18
TCGA-A5-A0GJ-01A-11D-A043.TCGA-A5-A0GJ-10A-01D-A043_chr	0.59	0.60	0.69	0.77	0.58	0.95	0.93	0.20	0.63	0.84	0.01	0.18	0.14	0.06	0.61	0.63	0.04	0.58
TCGA-G2-A3VY-01A-11D-A233.TCGA-G2-A3VY-10A-01D-A233_chr	0.28	0.55	0.57	0.26	0.16	0.9	0.64	0.14	0.07	0.57	0.01	0.28	0.57	0.44	0.57	0.53	0.54	0.09
TCGA-64-5774-01A-01D-1623.TCGA-64-5774-10A-01D-1623_chr	0.94	0.98	0.29	0.65	0.09	0.9	0.44	0.56	0.24	0.18	0.84	0.84	0.72	0.10	0.96	0.60	0.49	0.56
TCGA-73-4662-01A-01D-1203.TCGA-73-4662-11A-01D-1203_chr	0.39	0.56	0.14	0.83	0.60	0.85	0.73	0.12	0.43	0.63	0.05	0.49	0.19	0.89	0.82	0.30	0.30	0.03
TCGA-BT-A3PH-01A-11D-A221.TCGA-BT-A3PH-10A-01D-A221_chr	0.57	0.53	0.76	0.49	0.96	0.8	0.79	0.41	0.56	0.40	0.48	0.72	0.03	0.30	0.70	0.75	0.81	0.96
TCGA-BT-A20N-01A-11D-A14U.TCGA-BT-A20N-11A-11D-A14U_chr	0.06	0.95	0.03	0.11	0.57	0.87	0.12	0.38	0.48	0.41	0.43	0.98	0.69	0.27	0.13	0.70	0.60	0.46
TCGA-23-1118-01A-01D-A312.TCGA-23-1118-10A-01D-A312_chr	0.58	0.53	0.49	0.53	0.68	0.7	0.40	0.62	0.75	0.71	0.83	0.44	0.43	0.22	0.30	0.94	0.26	0.35
TCGA-BG-A0M8-01A-12D-A101.TCGA-BG-A0M8-10A-01D-A101_chr	0.30	0.93	0.79	0.21	0.65	0.85	0.90	0.39	0.36	0.18	0.73	0.80	0.02	0.82	0.31	0.91	0.97	0.38
TCGA-FD-A3B5-01A-11D-A210.TCGA-FD-A3B5-10A-01D-A210_chr	0.66	0.47	0.93	0.45	0.63	0.7	0.43	0.55	0.45	0.39	0.06	0.78	0.82	0.39	0.66	0.17	0.14	0.94
TCGA-24-1103-01A-01D-515.TCGA-24-1103-10A-01D-515_chr	0.60	0.33	0.18	0.20	0.54	0.55	0.52	0.58	0.66	0.04	0.05	0.87	0.35	0.65	0.27	0.33	0.79	0.17
TCGA-BR-4267-01A-01D-1128.TCGA-BR-4267-11A-01D-1128_chr	0.11	0.09	0.73	0.56	0.25	0.7	0.32	0.75	0.87	0.02	0.31	0.17	0.76	0.81	0.71	0.80	0.59	0.35
TCGA-24-2024-01A-02D-A324.TCGA-24-2024-11A-01D-A324_chr	0.39	0.47	0.78	0.15	0.69	0.6	0.74	0.03	0.93	0.34	0.99	0.37	0.12	0.81	0.00	0.00	0.97	0.34
TCGA-BS-A0TI-01A-11D-A101.TCGA-BS-A0TI-10A-01D-A101_chr	0.57	0.59	0.14	0.17	0.01	0.55	0.74	0.81	0.09	0.32	0.17	0.39	0.60	0.80	0.15	0.82	0.55	0.45
TCGA-52-7812-01A-11D-A320.TCGA-52-7812-10A-01D-A320_chr	0.45	0.63	0.80	0.78	0.29	0.5	0.46	0.85	0.46	0.27	0.92	0.35	0.62	0.30	0.51	0.22	0.42	0.25
TCGA-EE-A2MN-06A-11D-A18Y.TCGA-EE-A2MN-10A-01D-A190_chr	0.19	0.23	0.56	0.65	0.33	0.5	0.61	0.50	0.40	0.80	0.26	0.45	0.25	0.41	0.57	0.08	0.87	0.09
